"id(l)","id(a)"
"Phishing/Hacking","0x93a036a4fb47f22989ec1d11b134bb177e66a6bd"
"Maker Vault Owner","0x010f9534964929fa82160ea6782da44df961ec7b"
"OFAC","0xaf4c0B70B2Ea9FB7487C7CbB37aDa259579fe040"
"Government Criminal Blacklist","0xaf4c0B70B2Ea9FB7487C7CbB37aDa259579fe040"
"Phishing/Hacking","0x5d741f08e7f468768eb65af94205df2aa7eda5bd"
"Phishing/Hacking","0x25ef655c6c20ce77098d63bbcd32bc7c80987bbf"
"Phishing/Hacking","0xC0Ddcb0f738a1f352C7dd8A3E18719af0a0F77e8"
"Phishing/Hacking","0x2a875ef76dc772078b1a42da705deec99341b5ef"
"Phishing/Hacking","0x446c233ae1f969d3063aa4b477b02764414c536e"
"Phishing/Hacking","0xff96c1a8cd66ea0db71908e8c6e47cb39baec608"
"Phishing/Hacking","0x6d6dc5bee3ad868d249f1f9b261fd5bb81f51d76"
"Insta DApp","0x19cb2c0213d9b8b4f1bcdace51bc7e5dbf973cb0"
"Compound Finance","0xe5e8506a590766d738d80affc6b5e538c4b92f82"
"Zapper Fi","0xe5e8506a590766d738d80affc6b5e538c4b92f82"
"DEX","0x464d121d3ca63ceefd390d76f19364d3bd024cd2"
"Nerve","0x464d121d3ca63ceefd390d76f19364d3bd024cd2"
"Phishing/Hacking","0x4399b72f939180be5ae01eaeb65e2327a2839b0d"
"Coinsquare","0xd381347ee757f53ae4b3b6822daec3e2a14b2005"
"Exchange","0xd381347ee757f53ae4b3b6822daec3e2a14b2005"
"Fake Project Scam","0xf65826407fb7b92020d0fded67e347f7fa702b48"
"Phishing/Hacking","0xc909b536c02c21db282825f4a9d2018448460122"
"Phishing/Hacking","0x5f0dde29f4b4a1131b5f9648c974d2b3d26e5fd9"
"NFT Airdrop Scam","0x09155E8cbB30b34A0fdC65E8419D6C9D684dBe62"
"Phishing/Hacking","0x65e3e9279a01322fac984e841567d0e13f0994ba"
"LooksRare","0x000000000074f2e99d7602fca3cf0ffdca906495"
"Nexus Mutual","0x84edffa16bb0b9ab1163abb0a13ff0744c11272f"
"Staking","0x84edffa16bb0b9ab1163abb0a13ff0744c11272f"
"Phishing/Hacking","0x23667058d0cd398ff8d25e015c86322644c7783d"
"Phishing/Hacking","0x82744ba0766bdee409885c2186c44a4a73b0c97f"
"Phishing/Hacking","0xc28918e71a8868ffdd48838633933286d057033b"
"Safe Multisig","0x1ba6cfb0d7440dbc0a7323104c1c92bf6846d6a9"
"Chain","0x1ba6cfb0d7440dbc0a7323104c1c92bf6846d6a9"
"Rug Pull","0xa33adedbf6f89f6aa008e790ce0ffa0d076db20e"
"Phishing/Hacking","0x66135496a28c81e22fbe4b9398b25f5cf7022325"
"Phishing/Hacking","0x0fe32c4a5d10c8144207667aca2b2232acd8b509"
"Phishing/Hacking","0x92fa227d01dededae2a50b9da02413c48a872424"
"Phishing/Hacking","0x9fe115c85dee8b0a23eaf09aa0b004979494c1d8"
"Phishing/Hacking","0xedfe1d963b32a89e05dd0bc0e8f595b4b9afb544"
"Phishing/Hacking","0x3b99ecad31347cdd987e8683d8076b7bdbe4de4e"
"Insta DApp","0xd6a602c01a023b98ecfb29df02fba380d3b21e0c"
"Aave","0xba429f7011c9fa04cdd46a2da24dc0ff0ac6099c"
"Exchange","0x876eabf441b2ee5b5b0554fd502a8e0600950cfa"
"Bitfinex","0x876eabf441b2ee5b5b0554fd502a8e0600950cfa"
"Phishing/Hacking","0x584dab561e3c4ba02c74fb76e7c48a0a3b7d8097"
"MCDEX","0x072fbb7232bf368899827011c51df03a1d59ce45"
"Axie Infinity","0x9ecbb8dbff5d32643fe308b399cef26d384875ba"
"Phishing/Hacking","0x5a7490fc0e568df765e781ce54f43c4011549814"
